info_state,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,player,prob,round,terminal,total_demand,value
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 28.5312,,,,"MarginalValues:47, 10.5 Budget: 200",1,4.880371093750001e-07,12,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 28.5312
Round: 13",1 , 1,,,, 28.5312,67.85162470417498,0.35162470417498426,,,0,4.882810711860657e-07,13,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 28.5312
Round: 13",1 , 1,,,, 28.5312,67.85162470417498,0.35162470417498426,,,1,4.882810711860657e-07,13,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 31.3843,,,,"MarginalValues:101, 51 Budget: 200",0,2.4401855468750004e-07,13,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 31.3843,,,,"MarginalValues:47, 10.5 Budget: 200",1,2.4401855468750004e-07,13,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 31.3843
Round: 14",1 , 1,,,, 31.3843,65.71178717459249,-1.7882128254075198,,,0,2.4414058029651643e-07,14,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 31.3843
Round: 14",1 , 1,,,, 31.3843,65.71178717459249,-1.7882128254075198,,,1,2.4414058029651643e-07,14,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 34.5227,,,,"MarginalValues:101, 51 Budget: 200",0,1.2200927734375002e-07,14,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 34.5227,,,,"MarginalValues:47, 10.5 Budget: 200",1,1.2200927734375002e-07,14,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 34.5227
Round: 15",1 , 1,,,, 34.5227,63.35796589205172,-4.142034107948273,,,0,1.220703013241291e-07,15,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 34.5227
Round: 15",1 , 1,,,, 34.5227,63.35796589205172,-4.142034107948273,,,1,1.220703013241291e-07,15,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 37.975,,,,"MarginalValues:101, 51 Budget: 200",0,6.100463867187501e-08,15,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 37.975,,,,"MarginalValues:47, 10.5 Budget: 200",1,6.100463867187501e-08,15,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 37.975
Round: 16",1 , 1,,,, 37.975,60.7687624812569,-6.731237518743104,,,0,6.103515345603227e-08,16,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 37.975
Round: 16",1 , 1,,,, 37.975,60.7687624812569,-6.731237518743104,,,1,6.103515345603227e-08,16,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 41.7725,,,,"MarginalValues:101, 51 Budget: 200",0,3.0502319335937505e-08,16,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 41.7725,,,,"MarginalValues:47, 10.5 Budget: 200",1,3.0502319335937505e-08,16,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 41.7725
Round: 17",1 , 1,,,, 41.7725,57.92063872938259,-9.579361270617415,,,0,3.0517577426508065e-08,17,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 41.7725
Round: 17",1 , 1,,,, 41.7725,57.92063872938259,-9.579361270617415,,,1,3.0517577426508065e-08,17,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 45.9497,,,,"MarginalValues:101, 51 Budget: 200",0,1.5251159667968753e-08,17,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,1.0,,, 45.9497,,,,"MarginalValues:47, 10.5 Budget: 200",1,1.5251159667968753e-08,17,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 45.9497
Round: 18",1 , 1,,,, 45.9497,54.787702602320834,-12.712297397679162,,,0,1.9073486095294357e-08,18,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 45.9497
Round: 18",1 , 1,,,, 45.9497,54.787702602320834,-12.712297397679162,,,1,1.9073486095294357e-08,18,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2
Processed:
2
Aggregates:
3
",,,,0.5,0.5, 11,,,,"MarginalValues:101, 51 Budget: 200",0,0.0004997500000000001,2,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1
Processed:
1
Aggregates:
3
",,,,1.0,, 11,,,,"MarginalValues:47, 10.5 Budget: 200",1,0.0004997500000000001,2,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2
Processed:
2 | 2
Aggregates:
3 | 3
",,,,0.5,0.5, 12.1,,,,"MarginalValues:101, 51 Budget: 200",0,0.00024987500000000004,3,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1
Processed:
1 | 1
Aggregates:
3 | 3
",,,,1.0,, 12.1,,,,"MarginalValues:47, 10.5 Budget: 200",1,0.00024987500000000004,3,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2
Processed:
2 | 2 | 2
Aggregates:
3 | 3 | 3
",,,,0.5,0.5, 13.31,,,,"MarginalValues:101, 51 Budget: 200",0,0.00012493750000000002,4,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1
Processed:
1 | 1 | 1
Aggregates:
3 | 3 | 3
",,,,1.0,, 13.31,,,,"MarginalValues:47, 10.5 Budget: 200",1,0.00012493750000000002,4,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3
",,,,0.5,0.5, 14.641,,,,"MarginalValues:101, 51 Budget: 200",0,6.246875000000001e-05,5,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3
",,,,1.0,, 14.641,,,,"MarginalValues:47, 10.5 Budget: 200",1,6.246875000000001e-05,5,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 16.1051,,,,"MarginalValues:101, 51 Budget: 200",0,3.1234375000000005e-05,6,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3
",,,,1.0,, 16.1051,,,,"MarginalValues:47, 10.5 Budget: 200",1,3.1234375000000005e-05,6,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 17.7156,,,,"MarginalValues:101, 51 Budget: 200",0,1.5617187500000003e-05,7,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 17.7156,,,,"MarginalValues:47, 10.5 Budget: 200",1,1.5617187500000003e-05,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 19.4872,,,,"MarginalValues:101, 51 Budget: 200",0,7.808593750000001e-06,8,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 19.4872,,,,"MarginalValues:47, 10.5 Budget: 200",1,7.808593750000001e-06,8,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 21.4359,,,,"MarginalValues:101, 51 Budget: 200",0,3.904296875000001e-06,9,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 21.4359,,,,"MarginalValues:47, 10.5 Budget: 200",1,3.904296875000001e-06,9,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 23.5795,,,,"MarginalValues:101, 51 Budget: 200",0,1.9521484375000003e-06,10,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 23.5795,,,,"MarginalValues:47, 10.5 Budget: 200",1,1.9521484375000003e-06,10,False,Submitted:,
