type,processed_demand,proportion
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (1, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (2, 0), (2, 0)))",0.0003979307600477517
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (1, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (1, 3), (2, 0), (2, 0)))",0.0003979307600477517
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 1), (1, 1)), ((0, 0), (2, 3), (2, 3), (1, 3), (1, 2), (1, 2)))",0.0003979307600477517
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (1, 2)), ((0, 0), (2, 3), (2, 3), (2, 2), (1, 1)))",0.0003979307600477517
"(1, 0)","(((0, 0), (0, 3)), ((0, 0), (2, 0)))",0.6746742671009772
"(1, 0)","(((0, 0), (2, 2), (0, 3)), ((0, 0), (2, 0), (2, 0)))",0.30700325732899025
"(1, 0)","(((0, 0), (2, 3), (0, 3)), ((0, 0), (2, 0), (2, 0)))",0.008143322475570033
"(1, 0)","(((0, 0), (2, 3), (1, 3)), ((0, 0), (2, 0), (1, 0)))",0.006921824104234527
"(1, 0)","(((0, 0), (0, 2)), ((0, 0), (2, 0)))",0.0016286644951140066
"(1, 0)","(((0, 0), (1, 2), (0, 3)), ((0, 0), (2, 0), (2, 0)))",0.0016286644951140066
"(1, 1)","(((0, 0), (0, 3), (1, 0), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.6685575364667747
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.11871961102106969
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 2), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.08954619124797407
"(1, 1)","(((0, 0), (2, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3)))",0.04213938411669368
"(1, 1)","(((0, 0), (2, 2), (0, 2), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3)))",0.025121555915721232
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 1), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.007698541329011345
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 1), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 2)))",0.007698541329011345
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.006482982171799027
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 2), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.00526742301458671
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 2), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 2)))",0.004862236628849271
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 2)))",0.002025931928687196
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 2)), ((0, 0), (2, 3), (2, 3), (2, 1)))",0.0016207455429497568
"(1, 1)","(((0, 0), (2, 2), (0, 2), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0016207455429497568
"(1, 1)","(((0, 0), (0, 3), (0, 1), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0016207455429497568
"(1, 1)","(((0, 0), (1, 2), (0, 2), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 2)))",0.0016207455429497568
"(1, 1)","(((0, 0), (2, 2), (0, 1), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0012155591572123178
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 2), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 2)))",0.0012155591572123178
"(1, 1)","(((0, 0), (0, 3), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3)))",0.0012155591572123178
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0012155591572123178
"(1, 1)","(((0, 0), (1, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3)))",0.0008103727714748784
"(1, 1)","(((0, 0), (0, 2), (0, 1)), ((0, 0), (2, 3), (2, 2)))",0.0008103727714748784
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0008103727714748784
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 2)), ((0, 0), (2, 3), (2, 3), (2, 1)))",0.0008103727714748784
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0008103727714748784
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 3), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
"(1, 1)","(((0, 0), (2, 2), (0, 1), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 1), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
"(1, 1)","(((0, 0), (2, 2), (2, 2), (2, 1), (1, 1)), ((0, 0), (2, 3), (2, 1), (1, 2), (1, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 3), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
